Abbrev,Name
EMEC,Essig Museum of Entomology
LACMENT,Los Angeles County Museum of Entomology
CASENT,California Academy of Sciences
UCBME,Bohart Museum of Entomology
CIS,"University of California, Riverside (UCR), Entomology Research Museum"
UCRCENT,"University of California, Riverside (UCR), Entomology Research Museum"
SDNHM,San Diego Natural History Museum
UMMZI,University of Michigan Museum of Zoology
SBMNHENT,Santa Barbara Museum of Entomology
